,ORÇAMENTO REALIZADO (R$),EXERCÍCIO
3608,0.0,2014
3609,0.0,2014
3610,88.5,2014
3611,0.0,2014
3612,5024100.0,2014
3613,184711.27,2014
3614,0.0,2014
3615,6139.05,2014
3616,8862.0,2014
3617,97061.8,2014
3618,714.5,2014
3619,0.0,2014
3620,51699.8,2014
3621,0.0,2014
3622,0.0,2014
3623,0.0,2014
3624,866.3,2014
3625,37850798.95,2014
3626,1004735.17,2014
3627,9490.5,2014
3628,4742.5,2014
3629,0.0,2014
3630,1484.2,2014
3631,0.0,2014
3632,1579.5,2014
3633,906.75,2014
3634,6394.49,2014
3635,1997444.04,2014
3636,5597589.95,2014
3637,1141928.92,2014
3638,0.0,2014
3639,0.0,2014
3640,0.0,2014
3641,3980.91,2014
3642,0.0,2014
3643,0.0,2014
3644,0.0,2014
3645,4710013.22,2014
3646,7619986.78,2014
3647,0.0,2014
3648,0.0,2014
3649,15715.2,2014
3650,28118.8,2014
3651,2246081.71,2014
3652,39006.91,2014
3653,1938591.72,2014
3654,432000.0,2014
3655,3391.5,2014
3656,0.0,2014
3657,3604059.65,2014
3658,1396738.3,2014
3659,229933.96,2014
3660,2112186.14,2014
3661,376903.48,2014
3662,614.0,2014
3663,1219024.71,2014
3664,378405.54,2014
3665,9196.23,2014
3666,15904.95,2014
3667,0.0,2014
3668,6586.33,2014
3669,33705.97,2014
3670,9666249.84,2014
3671,0.0,2014
3672,0.0,2014
3673,82915.9,2014
3674,2000.0,2014
3675,242105.51,2014
3676,0.0,2014
3677,21759.0,2014
3678,0.0,2014
3679,1418144.4,2014
3680,2282930.12,2014
3681,0.0,2014
3682,0.0,2014
3683,0.0,2014
3684,15923.09,2014
3685,150.0,2014
3686,0.0,2014
3687,402965.77,2014
3688,0.0,2014
3689,0.0,2014
3690,0.0,2014
3691,1442181.24,2014
3692,159603.99,2014
3693,747409.58,2014
3694,0.0,2014
3695,4805510.94,2014
3696,12485178.98,2014
3697,1126814.33,2014
3698,42309.69,2014
3699,859337.38,2014
3700,26107.17,2014
3701,908565.85,2014
3702,5808843.04,2014
3703,0.0,2014
3704,0.0,2014
3705,4015827.54,2014
3706,0.0,2014
3707,10982360.69,2014
3708,143600.11,2014
3709,228333.23,2014
3710,25495.15,2014
3711,5000.0,2014
3712,0.0,2014
3713,10256.94,2014
3714,3336379.7,2014
3715,12999.65,2014
3716,92.0,2014
3717,0.0,2014
3718,0.0,2014
3719,3077.5,2014
3720,4249.99,2014
3721,1015021.02,2014
3722,2917059.91,2014
3723,9333790.5,2014
3724,0.0,2014
3725,0.0,2014
3726,6598807.9,2014
3727,1865022.52,2014
3728,359903.79,2014
3729,2051.0,2014
3730,23813.6,2014
3731,3573.0,2014
3732,54383.2,2014
3733,3386738.79,2014
3734,1427584.4,2014
3735,85895.9,2014
3736,5653.44,2014
3737,622379.44,2014
3738,0.0,2014
3739,7500.66,2014
3740,1776.5,2014
3741,0.0,2014
3742,238202.48,2014
3743,13575.65,2014
3744,4467870.45,2014
3745,0.0,2014
3746,9208648.0,2014
3747,799600.0,2014
3748,38253.52,2014
3749,4614085.36,2014
3750,167430.54,2014
3751,317785.92,2014
3752,0.0,2014
3753,212545.27,2014
3754,649293.73,2014
3755,270878.55,2014
3756,0.0,2014
3757,1570.0,2014
3758,0.0,2014
3759,7086770.15,2014
3760,0.0,2014
3761,0.0,2014
3762,0.0,2014
3763,2031300.6,2014
3764,7769692.99,2014
3765,0.0,2014
3766,0.0,2014
3767,1190716.13,2014
3768,13821494.34,2014
3769,27417.91,2014
3770,57600.0,2014
3771,41505.54,2014
3772,0.0,2014
3773,0.0,2014
3774,0.0,2014
3775,0.0,2014
3776,0.0,2014
3777,1120.0,2014
3778,7882318.37,2014
3779,389258.0,2014
3780,70741.17,2014
3781,20285.93,2014
3782,0.0,2014
3783,262254.79,2014
3784,548209.8,2014
3785,67210.0,2014
3786,0.0,2014
3787,330.0,2014
3788,1896086.4,2014
3789,8406615.33,2014
3790,13646.4,2014
3791,0.0,2014
3792,0.0,2014
3793,5446.86,2014
3794,0.0,2014
3795,5179482.07,2014
3796,0.0,2014
3797,0.0,2014
3798,0.0,2014
3799,911782.89,2014
3800,0.0,2014
3801,52675.98,2014
3802,64432.8,2014
3803,0.0,2014
3804,82170.4,2014
3805,2859999.9,2014
3806,0.0,2014
3807,1000.0,2014
3808,254864.88,2014
3809,0.0,2014
3810,239432.03,2014
3811,6789.74,2014
3812,0.0,2014
3813,48198.32,2014
3814,0.0,2014
3815,893674.66,2014
3816,8634992.99,2014
3817,959.02,2014
3818,8643601.92,2014
3819,864979.35,2014
3820,14732.78,2014
3821,27414.55,2014
3822,240000.0,2014
3823,8014.21,2014
3824,0.0,2014
3825,0.0,2014
3826,3081.0,2014
3827,42810.12,2014
3828,126875.9,2014
3829,2655022.25,2014
3830,2592289.86,2014
3831,44784.0,2014
3832,287784.05,2014
3833,3379272.71,2014
3834,2340399.98,2014
3835,0.0,2014
3836,11674.19,2014
3837,6251.07,2014
3838,0.0,2014
3839,0.0,2014
3840,628922.17,2014
3841,629624.39,2014
3842,307243.64,2014
3843,1545169.6,2014
3844,329676.0,2014
3845,57824.6,2014
3846,0.0,2014
3847,5000.0,2014
3848,0.0,2014
3849,65935.2,2014
3850,243411.28,2014
3851,12167062.14,2014
3852,122459.63,2014
3853,469267.87,2014
3854,27527.33,2014
3855,58444.02,2014
3856,679480.2,2014
3857,0.0,2014
3858,0.0,2014
3859,2508.0,2014
3860,0.0,2014
3861,5505.47,2014
3862,2614.65,2014
3863,9408.92,2014
3864,12209851.74,2014
3865,1482145.1,2014
3866,22000.0,2014
3867,16485.6,2014
3868,40717.54,2014
3869,929855.1,2014
3870,637910.0,2014
3871,20220.42,2014
3872,0.0,2014
3873,17363.06,2014
3874,2750.0,2014
3875,153541.54,2014
3876,0.0,2014
3877,0.0,2014
3878,700446.03,2014
3879,4298736.0,2014
3880,0.0,2014
3881,4981831.03,2014
3882,6792.0,2014
3883,3998.0,2014
3884,0.0,2014
3885,20815.67,2014
3886,1565.0,2014
3887,14850.0,2014
3888,3235736.29,2014
3889,72612.22,2014
3890,3660349.33,2014
3891,360.5,2014
3892,0.0,2014
3893,0.0,2014
3894,3278.97,2014
3895,1995.16,2014
3896,3028160.07,2014
3897,0.0,2014
3898,1005.25,2014
3899,6217778.51,2014
3900,51132.11,2014
3901,3221426.7,2014
3902,555506.89,2014
3903,1179520.85,2014
3904,33280.39,2014
3905,0.0,2014
3906,0.0,2014
3907,74785.47,2014
3908,2099209.58,2014
3909,7506.6,2014
3910,3533.4,2014
3911,0.0,2014
3912,75991.12,2014
3913,56.82,2014
3914,0.0,2014
3915,23065.71,2014
3916,909538.5,2014
3917,168286.55,2014
3918,150000.0,2014
3919,5996.0,2014
3920,6218275.49,2014
3921,0.0,2014
3922,15092.96,2014
3923,1167.21,2014
3924,1199.2,2014
3925,484.5,2014
3926,10478.63,2014
3927,7151618.22,2014
3928,0.0,2014
3929,1131278.0,2014
3930,876.0,2014
3931,237452.05,2014
3932,0.0,2014
3933,8920.0,2014
3934,0.0,2014
3935,7145250.43,2014
3936,1283169.25,2014
3937,4187728.74,2014
3938,565793.27,2014
3939,1688.0,2014
3940,0.0,2014
3941,0.0,2014
3942,5134.0,2014
3943,2831736.19,2014
3944,7772.0,2014
3945,22259762.24,2014
3946,1868634.24,2014
3947,642893.38,2014
3948,0.0,2014
3949,23720573.69,2014
3950,0.0,2014
3951,0.0,2014
3952,4508916.86,2014
3953,425.0,2014
3954,1156015.0,2014
3955,5794414.85,2014
3956,5579.59,2014
3957,14983787.66,2014
3958,15327200.0,2014
3959,3048181.61,2014
3960,451093.46,2014
3961,995.6,2014
3962,0.0,2014
3963,0.0,2014
3964,190854.17,2014
3965,1668922.11,2014
3966,1950961.1,2014
3967,123250.0,2014
3968,3024775.21,2014
3969,687674.61,2014
3970,1175754.66,2014
3971,0.0,2014
3972,576713.35,2014
3973,165275.22,2014
3974,7113488.31,2014
3975,0.0,2014
3976,3806429.51,2014
3977,1647438.46,2014
3978,0.0,2014
3979,220940.05,2014
3980,0.0,2014
3981,21001.56,2014
3982,246312.31,2014
3983,729018.65,2014
3984,52953.73,2014
3985,29867.3,2014
3986,8333.54,2014
3987,106840.0,2014
3988,49706.0,2014
3989,2342220.59,2014
3990,342858.43,2014
3991,858226.71,2014
3992,161500.75,2014
3993,6238800.0,2014
3994,0.0,2014
3995,77600.0,2014
3996,0.0,2014
3997,4975398.03,2014
3998,3456543.25,2014
3999,780404.02,2014
4000,0.0,2014
4001,361505.76,2014
4002,2162650.71,2014
4003,310993.54,2014
4004,0.0,2014
4005,0.0,2014
4006,0.0,2014
4007,514768.25,2014
4008,5115918.85,2014
4009,2255212.27,2014
4010,0.0,2014
4011,0.0,2014
4012,2333532.83,2014
4013,270767.54,2014
4014,6249012.57,2014
4015,0.0,2014
4016,0.0,2014
4017,4557372.91,2014
4018,1701632.59,2014
4019,5016594.82,2014
4020,0.0,2014
4021,0.0,2014
4022,771032.81,2014
4023,0.0,2014
4024,3246460.69,2014
4025,0.0,2014
4026,0.0,2014
4027,92617.78,2014
4028,1321124.36,2014
4029,153171.0,2014
4030,0.0,2014
4031,0.0,2014
4032,0.0,2014
4033,0.0,2014
4034,1972977.57,2014
4035,376894.88,2014
4036,0.0,2014
4037,0.0,2014
4038,38902.37,2014
4039,0.0,2014
4040,623440.53,2014
4041,3314.25,2014
4042,0.0,2014
4043,0.0,2014
4044,0.0,2014
4045,0.0,2014
4046,4268016.39,2014
4047,3426328.96,2014
4048,1016554.5,2014
4049,6587264.16,2014
4050,0.0,2014
4051,0.0,2014
4052,205448.43,2014
4053,321542.36,2014
4054,966025.41,2014
4055,1166000.0,2014
4056,111725.82,2014
4057,2731050.23,2014
4058,186088.5,2014
4059,0.0,2014
4060,0.0,2014
4061,2337821.61,2014
4062,0.0,2014
4063,0.0,2014
4064,0.0,2014
4065,0.0,2014
4066,0.0,2014
4067,0.0,2014
4068,179894.63,2014
4069,570867.3,2014
4070,273178.15,2014
4071,873185.26,2014
4072,1594285.73,2014
4073,17000.0,2014
4074,0.0,2014
4075,42000.0,2014
4076,438656.17,2014
4077,349959.44,2014
4078,2808259.05,2014
4079,438474.0,2014
4080,0.0,2014
4081,0.0,2014
4082,10800000.0,2014
4083,1127581.59,2014
4084,0.0,2014
4085,0.0,2014
4086,0.0,2014
4087,4881278.01,2014
4088,66990.56,2014
4089,0.0,2014
4090,410818.23,2014
4091,2122746.85,2014
4092,758294.9,2014
4093,1038351.44,2014
4094,310000.0,2014
4095,5393893.56,2014
4096,0.0,2014
4097,707364.75,2014
4098,0.0,2014
4099,0.0,2014
4100,191390.23,2014
4101,0.0,2014
4102,2412952.59,2014
4103,28577.13,2014
4104,0.0,2014
4105,8110843.81,2014
4106,791492.05,2014
4107,3421805.15,2014
4108,0.0,2014
4109,103390.08,2014
4110,0.0,2014
4111,0.0,2014
4112,0.0,2014
4113,1676922.35,2014
4114,182375.83,2014
4115,185670.15,2014
4116,10704489.07,2014
4117,1898406.98,2014
4118,4864.0,2014
4119,0.0,2014
4120,0.0,2014
4121,586411.6,2014
4122,4821481.6,2014
4123,0.0,2014
4124,0.0,2014
4125,3819901.36,2014
4126,42533.2,2014
4127,383859.79,2014
4128,4832095.61,2014
4129,0.0,2014
4130,13101461.76,2014
4131,0.0,2014
4132,265715.65,2014
4133,605406.62,2014
4134,0.0,2014
4135,9390.0,2014
4136,142.0,2014
4137,2788291.57,2014
4138,0.0,2014
4139,0.0,2014
4140,7861653.34,2014
4141,0.0,2014
4142,0.0,2014
4143,878923.57,2014
4144,0.0,2014
4145,0.0,2014
4146,13616.8,2014
4147,4441631.73,2014
4148,0.0,2014
4149,6298708.08,2014
4150,295729.62,2014
4151,0.0,2014
4152,0.0,2014
4153,0.0,2014
4154,0.0,2014
4155,11561335.79,2014
4156,0.0,2014
4157,56733531.95,2014
4158,0.0,2014
4159,3303060.54,2014
4160,0.0,2014
4161,0.0,2014
4162,0.0,2014
4163,0.0,2014
4164,0.0,2014
4165,0.0,2014
4166,1688299.44,2014
4167,10000000.0,2014
4168,0.0,2014
4169,0.0,2014
4170,0.0,2014
4171,0.0,2014
4172,193039663.35,2014
4173,3842215.98,2014
4174,0.0,2014
4175,0.0,2014
4176,33732436.37,2014
4177,3672036575.04,2014
4178,0.0,2014
4179,125366.0,2014
4180,38086.15,2014
4181,51390.0,2014
4182,0.0,2014
4183,0.0,2014
4184,0.0,2014
4185,0.0,2014
4186,92693043.22,2014
4187,2306396.81,2014
4188,19965.0,2014
4189,0.0,2014
4190,0.0,2014
4191,0.0,2014
4192,0.0,2014
4193,11742.0,2014
4194,0.0,2014
4195,36020.53,2014
4196,0.0,2014
4197,0.0,2014
4198,325094.93,2014
4472,0.0,2014
4473,34875649.97,2014
4474,3049617176.05,2014
4475,399001.03,2014
4476,0.0,2014
4477,8999855214.46,2014
4478,50584700.0,2014
4479,0.0,2014
4480,10282645.75,2014
4481,0.0,2014
4482,49948.54,2014
4483,0.0,2014
4484,2703373.39,2014
4485,1388500.44,2014
4486,1680268.32,2014
4487,1205255.5,2014
4488,2771923.36,2014
4489,0.0,2014
4490,2000.0,2014
4491,0.0,2014
4492,0.0,2014
4493,4154327.56,2014
4494,93940193.04,2014
4495,326691.66,2014
4496,3650366.35,2014
4497,0.0,2014
4498,9146949.64,2014
4499,404589.02,2014
4500,60634.6,2014
4501,0.0,2014
4502,1193916.31,2014
4503,258723.81,2014
4504,5704566.84,2014
4505,107664423.1,2014
4506,5328008.99,2014
4507,745219.32,2014
4508,277252.82,2014
4509,1868570.61,2014
4510,138774.19,2014
4511,0.0,2014
4512,918632.99,2014
4513,29082.0,2014
4514,0.0,2014
4515,179960.48,2014
4516,832642.8,2014
4517,2071604.66,2014
4518,31282.41,2014
4519,16995.85,2014
4520,175195.51,2014
4521,1704262.27,2014
4522,0.0,2014
4523,350722.81,2014
4524,0.0,2014
4525,5491640.24,2014
4526,2159731.93,2014
4527,119043.04,2014
4528,6866116.79,2014
4529,8437268.93,2014
4530,0.0,2014
4531,45333.34,2014
4532,18154.35,2014
4533,11533319.59,2014
4534,60508.47,2014
4535,0.0,2014
4536,0.0,2014
4537,1242779.51,2014
4538,113050.0,2014
4539,370440.66,2014
4540,0.0,2014
4541,133679.01,2014
4542,1973.0,2014
4543,648006.37,2014
4544,29868.63,2014
4545,0.0,2014
4546,351460.14,2014
4547,8840.25,2014
4548,249639.7,2014
4549,0.0,2014
4550,45244.89,2014
4551,28604.55,2014
4552,0.0,2014
4553,1170.8,2014
4554,2303789.72,2014
4555,922275.3,2014
4556,0.0,2014
4557,1381.19,2014
4558,223058.1,2014
4559,0.0,2014
4560,6001552.08,2014
4561,133467.33,2014
4562,20964.42,2014
4563,418522.51,2014
4564,0.0,2014
4565,87160.81,2014
4566,1173136.06,2014
4567,226958.13,2014
4568,1200868.13,2014
4569,84674174.48,2014
4570,5303560.86,2014
4571,0.0,2014
4572,0.0,2014
4573,154984.54,2014
4574,0.0,2014
4575,2070923.1,2014
4576,12968574.4,2014
4577,42978422.88,2014
4578,2481179.85,2014
4579,85396.48,2014
4580,38163.89,2014
4581,22196.0,2014
4582,0.0,2014
4583,0.0,2014
4584,0.0,2014
4585,0.0,2014
4586,0.0,2014
4587,86749.96,2014
4588,1192683.84,2014
4589,5564222.91,2014
4590,0.0,2014
4591,321403.96,2014
4592,0.0,2014
4593,0.0,2014
4594,227460.4,2014
4595,0.0,2014
4596,2803279.79,2014
4597,1080186.7,2014
4598,19813.3,2014
4599,6530.78,2014
4600,167767.68,2014
4601,23350.31,2014
4602,1572122.63,2014
4603,36723.85,2014
4604,0.0,2014
4605,705817.04,2014
4606,3561759.59,2014
4607,801191.48,2014
4608,970514.85,2014
4609,220935706.07,2014
4610,14051.51,2014
4611,12938668.64,2014
4612,0.0,2014
4613,5000.0,2014
4614,0.0,2014
4615,150.0,2014
4616,0.0,2014
4617,2055961.65,2014
4618,0.0,2014
4619,10398.78,2014
4620,477.0,2014
4621,3050673.71,2014
4622,5383443.39,2014
4623,0.0,2014
4624,0.0,2014
4625,3284648.82,2014
4626,594796.65,2014
4627,0.0,2014
4628,104081.72,2014
4629,423430.85,2014
4630,9417.91,2014
4631,3732374.51,2014
4632,55704.88,2014
4633,147632.53,2014
4634,2753871.22,2014
4635,145760385.22,2014
4636,194677.91,2014
4637,0.0,2014
4638,16605751.81,2014
4639,3128742.67,2014
4640,91342.64,2014
4641,152809423.02,2014
4642,0.0,2014
4643,0.0,2014
4644,72236.86,2014
4645,590.32,2014
4646,0.0,2014
4647,131040.94,2014
4648,0.0,2014
4649,3410805.97,2014
4650,99160.88,2014
4651,60489.17,2014
4652,44335.66,2014
4653,0.0,2014
4654,456663.27,2014
4655,0.0,2014
4656,5335968.29,2014
4657,5140717.88,2014
4658,735160.24,2014
4659,7866533.45,2014
4660,145951.57,2014
4661,500000.0,2014
4662,771139.33,2014
4663,69690.72,2014
4664,106025.63,2014
4665,5901.92,2014
4666,2655747.37,2014
4667,0.0,2014
4668,3261.36,2014
4669,163700.0,2014
4670,4008492.91,2014
4671,5044555.99,2014
4672,94488.56,2014
4673,19410678.05,2014
4674,286269.24,2014
4675,0.0,2014
4676,0.0,2014
4677,117791.52,2014
4678,0.0,2014
4679,2315547.06,2014
4680,0.0,2014
4681,860081.07,2014
4682,0.0,2014
4683,0.0,2014
4684,5231.71,2014
4685,831149.83,2014
4686,252589.02,2014
4687,1210.1,2014
4688,0.0,2014
4689,268280.91,2014
4690,229595.8,2014
4691,36342974.66,2014
4692,1152297.41,2014
4693,0.0,2014
4694,15699915.53,2014
4695,6679220.84,2014
4696,63659.44,2014
4697,1434987.38,2014
4698,2327.5,2014
4699,5123.32,2014
4700,2111133.26,2014
4701,12086339.47,2014
4702,25031.89,2014
4703,592481.46,2014
4704,0.0,2014
4705,5006.33,2014
4706,7877.7,2014
4707,0.0,2014
4708,0.0,2014
4709,54475.68,2014
4710,339423.48,2014
4711,0.0,2014
4712,3675987.55,2014
4713,7507084.86,2014
4714,0.0,2014
4715,634158.56,2014
4716,5434.32,2014
4717,312531.37,2014
4718,29094.73,2014
4719,194790.23,2014
4720,0.0,2014
4721,40640.25,2014
4722,1062.0,2014
4723,0.0,2014
4724,0.0,2014
4725,2376719.06,2014
4726,231936.51,2014
4727,229745.26,2014
4728,26657.85,2014
4729,237384.57,2014
4730,0.0,2014
4731,0.0,2014
4732,553400.0,2014
4733,10923210.62,2014
4734,1063358.85,2014
4735,0.0,2014
4736,5228224.61,2014
4737,0.0,2014
4738,41419.84,2014
4739,17290.0,2014
4740,0.0,2014
4741,1080.0,2014
4742,8052.24,2014
4743,4076990.91,2014
4744,6315720.29,2014
4745,0.0,2014
4746,6793553.18,2014
4747,217947.53,2014
4748,880920.0,2014
4749,16931.32,2014
4750,1005769.23,2014
4751,0.0,2014
4752,645.84,2014
4753,647229.25,2014
4754,1399427.15,2014
4755,4627220.38,2014
4756,168856.66,2014
4757,0.0,2014
4758,113444.26,2014
4759,0.0,2014
4760,196786671.95,2014
4761,0.0,2014
4762,6550499.88,2014
4763,0.0,2014
4764,11696.96,2014
4765,0.0,2014
4766,9477917.76,2014
4767,0.0,2014
4768,23566183.36,2014
4769,7221648.7,2014
4770,5519092.16,2014
4771,169727.98,2014
4772,114250.27,2014
4773,2697884.39,2014
4774,0.0,2014
4775,1743961.23,2014
4776,726430.4,2014
4777,0.0,2014
4778,2842.07,2014
4779,57921.08,2014
4780,2885802.36,2014
4781,390383.98,2014
4782,1238012.32,2014
4783,194783.92,2014
4784,0.0,2014
4785,6559998.07,2014
4786,0.0,2014
4787,124801232.46,2014
4788,0.0,2014
4789,223662.7,2014
4790,1193804.24,2014
4791,1124851.95,2014
4792,73000.0,2014
4793,0.0,2014
4794,0.0,2014
4795,14300.0,2014
4796,0.0,2014
4797,3508598.88,2014
4798,0.0,2014
4799,10268356.0,2014
4800,0.0,2014
4801,719066.33,2014
4802,23153.79,2014
4803,214631.6,2014
4804,1239.55,2014
4805,251.94,2014
4806,12362233.72,2014
4807,4441424.53,2014
4808,0.0,2014
4809,0.0,2014
4810,0.0,2014
4811,21035230.33,2014
4812,719.79,2014
4813,9047261.27,2014
4814,100931.31,2014
4815,10600.0,2014
4816,128252.51,2014
4817,359522.51,2014
4818,0.0,2014
4819,978.15,2014
4820,22170.28,2014
4821,188409.99,2014
4822,0.0,2014
4823,76642.12,2014
4824,8781167.11,2014
4825,1569654.27,2014
4826,0.0,2014
4827,464735.1,2014
4828,0.0,2014
4829,1769380.72,2014
4830,345808.45,2014
4831,163079.06,2014
4832,126437950.23,2014
4833,0.0,2014
4834,2471486.34,2014
4835,4116409.31,2014
4836,0.0,2014
4837,6497.42,2014
4838,67598.0,2014
4839,248891.75,2014
4840,0.0,2014
4841,2400.0,2014
4842,0.0,2014
4843,880.0,2014
4844,616175.27,2014
4845,3373533.18,2014
4846,3706.0,2014
4847,5370993.47,2014
4848,227885.41,2014
4849,410517.92,2014
4850,101636.32,2014
4851,9265.0,2014
4852,18796.84,2014
4853,8198813.6,2014
4854,2741.76,2014
4855,0.0,2014
4856,47697.48,2014
4857,49652.82,2014
4858,44534.11,2014
4859,2052534.83,2014
4860,200770.92,2014
4861,978246.66,2014
4862,0.0,2014
4863,78561895.12,2014
4864,4832125.77,2014
4865,0.0,2014
4866,15247825.95,2014
4867,3788603.22,2014
4868,75660.0,2014
4869,0.0,2014
4870,0.0,2014
4871,2616139.23,2014
4872,0.0,2014
4873,0.0,2014
4874,441806.19,2014
4875,0.0,2014
4876,693.97,2014
4877,99455.2,2014
4878,151589.22,2014
4879,3899389.27,2014
4880,0.0,2014
4881,0.0,2014
4882,42425.17,2014
4883,0.0,2014
4884,1346393.66,2014
4885,9505540.4,2014
4886,1415744.73,2014
4887,395.7,2014
4888,50680.02,2014
4889,0.0,2014
4890,612338.43,2014
4891,18437.1,2014
4892,0.0,2014
4893,174479.72,2014
4894,0.0,2014
4895,22777033.39,2014
4896,0.0,2014
4897,110640901.87,2014
4898,2959861.57,2014
4899,0.0,2014
4900,108008.24,2014
4901,0.0,2014
4902,264743.0,2014
4903,2812290.05,2014
4904,579344.12,2014
4905,3469.9,2014
4906,0.0,2014
4907,98812.7,2014
4908,239192.23,2014
4909,180753.0,2014
4910,0.0,2014
4911,353111.3,2014
4912,5191849.44,2014
4913,0.0,2014
4914,4387178.29,2014
4915,0.0,2014
4916,0.0,2014
4917,384991.98,2014
4918,2520003.12,2014
4919,1078650.56,2014
4920,323313.17,2014
4921,0.0,2014
4922,222706.26,2014
4923,0.0,2014
4924,38699.54,2014
4925,3508.54,2014
4926,1803974.52,2014
4927,434.21,2014
4928,0.0,2014
4929,71429749.08,2014
4930,905613.94,2014
4931,4346906.17,2014
4932,2835993.44,2014
4933,2341620.19,2014
4934,592007.65,2014
