,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
3719,2014,Educação,Ensino superior,3077.5
3720,2014,Educação,Ensino superior,4249.99
3728,2014,Educação,Ensino superior,359903.79
3729,2014,Educação,Ensino superior,2051.0
3730,2014,Educação,Ensino superior,23813.6
3731,2014,Educação,Ensino superior,3573.0
3732,2014,Educação,Ensino superior,54383.2
3735,2014,Educação,Ensino superior,85895.9
3736,2014,Educação,Ensino superior,5653.44
3739,2014,Educação,Ensino superior,7500.66
3740,2014,Educação,Ensino superior,1776.5
3742,2014,Educação,Ensino superior,238202.48
3743,2014,Educação,Ensino superior,13575.65
3748,2014,Educação,Ensino superior,38253.52
3750,2014,Educação,Ensino superior,167430.54
3751,2014,Educação,Ensino superior,317785.92
3753,2014,Educação,Ensino superior,212545.27
3755,2014,Educação,Ensino superior,270878.55
3757,2014,Educação,Ensino superior,1570.0
3769,2014,Educação,Ensino superior,27417.91
3770,2014,Educação,Ensino superior,57600.0
3771,2014,Educação,Ensino superior,41505.54
3777,2014,Educação,Ensino superior,1120.0
3779,2014,Educação,Ensino superior,389258.0
3780,2014,Educação,Ensino superior,70741.17
3781,2014,Educação,Ensino superior,20285.93
3783,2014,Educação,Ensino superior,262254.79
3784,2014,Educação,Ensino superior,548209.8
3785,2014,Educação,Ensino superior,67210.0
3787,2014,Educação,Ensino superior,330.0
3790,2014,Educação,Ensino superior,13646.4
3793,2014,Educação,Ensino superior,5446.86
3801,2014,Educação,Ensino superior,52675.98
3802,2014,Educação,Ensino superior,64432.8
3804,2014,Educação,Ensino superior,82170.4
3807,2014,Educação,Ensino superior,1000.0
3808,2014,Educação,Ensino superior,254864.88
3810,2014,Educação,Ensino superior,239432.03
3811,2014,Educação,Ensino superior,6789.74
3813,2014,Educação,Ensino superior,48198.32
3817,2014,Educação,Ensino superior,959.02
3820,2014,Educação,Ensino superior,14732.78
3821,2014,Educação,Ensino superior,27414.55
3822,2014,Educação,Ensino superior,240000.0
3823,2014,Educação,Ensino superior,8014.21
3826,2014,Educação,Ensino superior,3081.0
3827,2014,Educação,Ensino superior,42810.12
3828,2014,Educação,Ensino superior,126875.9
3831,2014,Educação,Ensino superior,44784.0
3832,2014,Educação,Ensino superior,287784.05
3836,2014,Educação,Ensino superior,11674.19
3837,2014,Educação,Ensino superior,6251.07
3842,2014,Educação,Ensino superior,307243.64
3844,2014,Educação,Ensino superior,329676.0
3845,2014,Educação,Ensino superior,57824.6
3847,2014,Educação,Ensino superior,5000.0
3849,2014,Educação,Ensino superior,65935.2
3850,2014,Educação,Ensino superior,243411.28
3852,2014,Educação,Ensino superior,122459.63
3853,2014,Educação,Ensino superior,469267.87
3854,2014,Educação,Ensino superior,27527.33
3855,2014,Educação,Ensino superior,58444.02
3859,2014,Educação,Ensino superior,2508.0
3861,2014,Educação,Ensino superior,5505.47
3862,2014,Educação,Ensino superior,2614.65
3863,2014,Educação,Ensino superior,9408.92
3866,2014,Educação,Ensino superior,22000.0
3867,2014,Educação,Ensino superior,16485.6
3868,2014,Educação,Ensino superior,40717.54
3871,2014,Educação,Ensino superior,20220.42
3873,2014,Educação,Ensino superior,17363.06
3874,2014,Educação,Ensino superior,2750.0
3875,2014,Educação,Ensino superior,153541.54
3882,2014,Educação,Ensino superior,6792.0
3883,2014,Educação,Ensino superior,3998.0
3885,2014,Educação,Ensino superior,20815.67
3886,2014,Educação,Ensino superior,1565.0
3887,2014,Educação,Ensino superior,14850.0
3889,2014,Educação,Ensino superior,72612.22
3891,2014,Educação,Ensino superior,360.5
3894,2014,Educação,Ensino superior,3278.97
3895,2014,Educação,Ensino superior,1995.16
3898,2014,Educação,Ensino superior,1005.25
3900,2014,Educação,Ensino superior,51132.11
3902,2014,Educação,Ensino superior,555506.89
3904,2014,Educação,Ensino superior,33280.39
3907,2014,Educação,Ensino superior,74785.47
3909,2014,Educação,Ensino superior,7506.6
